id,plan_week_day_id,occasion_id,food_id,created_at,updated_at
0031c5da-3fdb-4a92-b449-32e9529b3a24,a032f55a-0baa-438d-bc20-d971b2596e8f,2,e3e66328-f019-4b7a-b21d-98f84cea9c02,2022-05-30 01:52:10 UTC,2022-05-30 19:38:46 UTC
00582e6d-699c-4479-83bb-bd14ba25e5c5,3e28e4c7-ceed-44ef-9f6b-50aa3d7868d5,6,549926e0-159a-4f47-8c39-e7a576a1b47b,2022-05-30 19:39:07 UTC,2022-05-30 19:39:07 UTC
0065104f-ba46-4b63-92a3-ff3c11c852f6,80f24189-7d65-468e-b632-d5e9d355b808,4,514720da-6708-426f-8a40-784d14030222,2022-05-30 19:37:10 UTC,2022-05-30 19:37:10 UTC
008b3b55-9737-4a0e-9584-d80a3ad8fa36,2c42052c-6846-423c-ab52-ffcce7808a1e,3,eec66bbf-3d46-4d5a-a4dd-14903d0796c3,2022-05-30 19:39:06 UTC,2022-05-30 19:39:06 UTC
00b0b413-7575-4cce-953b-32aaff7f961b,0f98366f-debc-45a3-9a4e-d9e0122dfcc8,4,84484746-7e9f-44cc-a44f-b0176265700a,2022-05-30 13:43:20 UTC,2022-05-30 19:38:29 UTC
00c7ebb6-2df1-4cfb-89a8-f00b134ec9d7,d2cca9af-436b-404c-a74d-301dabeac2f3,5,87cda266-be7e-466f-848a-49c556190e64,2022-05-30 19:39:07 UTC,2022-05-30 19:39:07 UTC
01002cda-badf-4ba8-954f-0b864aac0cdd,b0587a54-4442-49e9-846d-4f7401de1e09,3,22cb41fe-7cba-40e2-b2b6-b68388b42596,2022-05-30 13:06:40 UTC,2022-05-30 19:41:23 UTC
011b741e-23e6-44ab-9519-6dc6e3920c6d,6e8ea99e-7c1f-4c5f-b112-6a8f01c41429,3,12aeaf46-85ee-4b86-af47-f745aca04158,2022-05-30 13:42:55 UTC,2022-05-30 19:37:10 UTC
012da11f-c33d-4283-a411-d9f244179eee,1f03c8ef-4e8c-4c73-99db-de41c8ca3a12,3,9cace3ec-0de9-4362-a60e-e60680e3737f,2022-05-30 19:38:29 UTC,2022-05-30 19:38:30 UTC
012e4c46-58f2-413d-9380-9e4ddd7d4eab,468d69fc-c72a-44c8-8683-561088097cf7,4,a0e2cc47-209c-405b-a663-ff6de0e74531,2022-05-30 19:39:51 UTC,2022-05-30 19:39:51 UTC
0183b97e-ed22-45b9-882d-caf6a6d587bd,a0651f8b-dfa9-4af9-b889-9e6bb6f4be44,6,af53fa5a-daa0-4a5a-989f-bbdd38fac9da,2022-05-30 19:03:24 UTC,2022-05-30 19:35:48 UTC
018e1365-0ea0-4c00-8321-ed622bc62269,eb34b0eb-460d-40d3-be98-00519337ce7a,3,5098bba1-1f88-492d-983d-481b3ee2ebf9,2022-05-30 19:39:06 UTC,2022-05-30 19:39:06 UTC
0198f681-4b0f-4934-8e5a-23359499e1eb,82b1057a-1bfb-43f0-8199-58d8745c178b,6,40dff652-41cf-4dab-8a5b-a6bd3ea6513b,2022-05-30 19:03:24 UTC,2022-05-30 19:35:48 UTC
019cbfe1-40dd-4b43-8753-1dabb9902f75,bd78bdfa-b23d-4baf-b3fc-668512131de3,1,d0d280f0-b60b-4e62-8251-5609e6983de3,2022-05-30 19:38:30 UTC,2022-05-30 19:38:30 UTC
01a37f5d-3252-4c7e-8ace-8a9e926fdb76,a206be35-f932-4a85-b832-1fb9ead78c11,1,955df87e-a213-4fea-8658-2ea83cb89ca3,2022-05-30 19:39:39 UTC,2022-05-30 19:39:39 UTC
01b23b22-f394-46bf-835f-30c97588ab2b,581f2a53-26e9-4dcd-a7e0-8a0b389930a3,3,91fabda1-45ca-475a-8adf-9f2e52ae0819,2022-05-30 19:39:39 UTC,2022-05-30 19:39:39 UTC
0216253c-17e3-4788-b4ef-a74486d6b899,d28dd77c-5ab5-4414-936a-57c9741c5faf,5,cbcf5284-4054-4a7f-bf31-4c5adaf998ec,2022-05-30 19:39:51 UTC,2022-05-30 19:39:51 UTC
02698df4-5c70-4c42-9bce-ab7c7d35f749,1087d347-90f7-40e8-b41f-9c41b26702f6,4,d4b6f32e-663c-4892-9e35-20b696753be2,2022-05-30 19:39:51 UTC,2022-05-30 19:39:51 UTC
